The algorithm was run for about 400 generations, below are the results.

|GenerationNumber|AverageScore|HighestScore|
|1|398.49666666666667|1394|
|2|608.6733333333333|5363|
|3|750.0766666666667|3062|
|4|428.1533333333333|2390|
|5|681.8866666666667|3479|
|6|993.5933333333334|3103|
|7|304.38|1134|
|8|1076.4066666666668|4733|
|9|1949.17|16783|
|10|827.44|5718|
|11|2295.1966666666667|7905|
|12|1691.95|8610|
|13|3288.08|11267|
|14|887.2566666666667|8364|
|15|1223.6166666666666|8807|
|16|1831.7333333333333|13154|
|17|2965.1133333333332|29481|
|18|1216.16|11424|
|19|1990.3466666666666|12301|
|20|2495.2266666666665|14399|
|21|1958.1333333333334|15096|
|22|989.7233333333334|14920|
|23|1647.0133333333333|12725|
|24|3806.7966666666666|30031|
|25|2440.82|23351|
|26|2628.4966666666664|12377|
|27|534.2033333333334|9728|
|28|1966.43|7026|
|29|1935.0566666666666|15266|
|30|3038.59|13260|
|31|1916.2133333333334|9137|
|32|1061.6933333333334|7652|
|33|2291.193333333333|14653|
|34|1617.19|8896|
|35|1379.88|7370|
|36|640.2766666666666|7511|
|37|2482.463333333333|22671|
|38|1849.7766666666666|8252|
|39|2518.516666666667|25617|
|40|1879.0733333333333|10408|
|41|2659.6966666666667|16009|
|42|972.8533333333334|8249|
|43|1383.42|17768|
|44|4841.09|42080|
|45|3193.3866666666668|22512|
|46|1549.79|40859|
|47|6331.633333333333|34913|
|48|3748.8966666666665|33740|
|49|3973.54|23598|
|50|2841.6133333333332|15868|
|51|3599.8133333333335|28582|
|52|2133.3033333333333|19295|
|53|2552.286666666667|22808|
|54|2332.43|32743|
|55|1899.6233333333332|15646|
|56|3265.6866666666665|30527|
|57|2266.0933333333332|22481|
|58|1658.88|33371|
|59|4314.423333333333|22701|
|60|878.05|20290|
|61|3335.5733333333333|21165|
|62|3059.326666666667|22933|
|63|4075.9933333333333|21087|
|64|3197.3366666666666|31366|
|65|2689.5266666666666|26304|
|66|4728.55|31181|
|67|3674.3433333333332|20485|
|68|4773.8533333333335|19686|
|69|4806.993333333333|48462|
